Stamar Tanjung Priok;;;;;;;;;
;;;;;;;;;
;Temperature Max C (Daily);Temperature Mean C (Daily);Temperature Min C (Daily);Evaporation Total mm (Daily);Dew Point Mean C (Daily);Relative Humidity Mean % (Daily);Wind Speed Mean ms (Daily);Wind Speed Max ms (Daily);Sunshine Hours (Daily)
24/01/2022 00:00;33.7;30;27.2;6.4;24.3;71.5;3.8;6.2;9.3
25/01/2022 00:00;31.2;28.9;26.1;2.4;25;79.5;3.3;5.7;9.1
26/01/2022 00:00;29.6;27.8;25.7;6;24.4;81.8;3;6.2;5.6
27/01/2022 00:00;31.6;29;26.6;2.6;24.6;77.5;2.8;6.2;0
28/01/2022 00:00;31.8;29.1;26.4;3.3;24.1;74.8;1.5;3.6;8.4
29/01/2022 00:00;30.8;28.6;26.5;5.1;24.6;78.7;.8;4.6;7.1
30/01/2022 00:00;31.7;29.2;26.6;7.5;24.7;76.9;1.5;5.7;1.6
31/01/2022 00:00;31.4;28.9;26.8;9999;24.6;77.7;2.3;5.1;9999
01/02/2022 00:00;32;28.7;24.2;4.7;24.7;78.8;2;4.6;6.7
02/02/2022 00:00;30.4;28.5;26.2;6.1;25;81.3;1.7;4.6;7.3
03/02/2022 00:00;31.4;28.8;25;4.7;24.6;77.9;1.4;3.1;3.7
04/02/2022 00:00;31.2;27.6;25.2;5.8;24.5;83.3;1.6;4.6;6.3
05/02/2022 00:00;28.4;26.5;25.5;4.7;24.1;86.7;3.2;6.7;6.2
06/02/2022 00:00;30.4;28;25.4;7.9;24.5;81.1;2.3;4.6;0
07/02/2022 00:00;30.9;29;26.2;5.5;24.6;77.3;1.8;5.7;3.3
08/02/2022 00:00;28.2;27;25.6;6.5;25;89;1.8;6.2;6.8
09/02/2022 00:00;30.6;27.2;25;1.2;23.8;81.7;3.3;6.7;0
10/02/2022 00:00;30.7;28;25.2;2.7;23.5;76.9;2.6;7.2;6.5
11/02/2022 00:00;31.2;28.6;26.3;3;24.4;78.1;2.1;5.7;.3
12/02/2022 00:00;30.2;28.5;27.2;4.2;24.9;80.6;1.6;5.1;3.1
13/02/2022 00:00;29.6;27.5;25.6;4.1;24;81.7;.6;2.6;0
14/02/2022 00:00;30.3;27.6;24.6;.5;23.3;77.4;.9;5.7;.4
15/02/2022 00:00;31;27.9;25.6;2.2;24;79.4;1.3;5.7;1
16/02/2022 00:00;32.5;28.3;25.2;3.2;24.2;78.6;1.7;5.7;2.4
17/02/2022 00:00;30.9;28.7;25.6;7.3;24.4;77.7;1.5;3.6;8.5
18/02/2022 00:00;30;27.8;26.4;4.2;24.7;83.2;1;3.6;6.9
19/02/2022 00:00;30.8;28.5;26.4;4.5;24.6;79.6;.2;2.6;.5
20/02/2022 00:00;31.5;28.8;26.6;2.4;24.5;77.7;1.2;3.1;4
21/02/2022 00:00;31.7;29.1;26.8;2.6;24.3;75.3;1.2;2.6;2.7
22/02/2022 00:00;32.6;29.1;25.4;4.3;24.4;75.5;2.3;7.2;3.7
23/02/2022 00:00;31.2;27.8;24.6;7.6;23.4;77;3.2;7.7;7.3
24/02/2022 00:00;31.8;29.1;25;3.7;22.7;68.3;3.2;5.7;3.8
25/02/2022 00:00;30.1;27.6;24.7;2.5;22.7;74.7;3.3;6.2;3
26/02/2022 00:00;32.1;28.6;26.2;4.4;23;72.2;3.6;6.7;.7
27/02/2022 00:00;30.6;28.1;26.4;5;23.6;76.5;4.4;10.3;5.6
28/02/2022 00:00;30.6;27.9;24.8;4.5;24.2;80.3;3.9;7.2;6.5
01/03/2022 00:00;29;26.7;24.6;3.4;23.6;83.4;3.5;8.2;2.3
