Tanggal,Mataram,Jerowaru,Pemenang,Praya Barat Daya,Praya,Sekarbela,Santong,Sembalun
06/29/2022,0,0,0,0,0,0,0,0.4
06/30/2022,0,0,0,0,0,0,0,0
07/01/2022,0,0,0,10.4,0.4,0.4,0,0.4
07/02/2022,0,0,0,0,0,0,0.2,0.6
07/03/2022,4,3.8,0,4.4,11,0,0,0
07/04/2022,0.2,0,0,9,43,0,0,0.2
07/05/2022,1.4,0,0,5.4,6.4,0,0,19.6
07/06/2022,0,0,0,0,0,0,0.4,0.8
07/07/2022,0,0,0.1,0.8,0,0,0.2,0.2
07/08/2022,0,0,0,0,0,0,0,0
07/09/2022,0,202,0,0,0,0,0,0
07/10/2022,0,0,0,0,0,0,0,0
07/11/2022,0,0,0,0,0,0,0.2,0
07/12/2022,10.4,0,14.1,0,0,2.2,1.8,0
07/13/2022,0,,3.8,0,0,0,3.8,0
07/14/2022,0.2,0,0,0,0,0,0,0
07/15/2022,0,67.6,0,0,0,0,0,0
07/16/2022,0,26.6,0,0,0,0,0,0
07/17/2022,0,117.8,0,0,0,0,0,0
07/18/2022,0,115,2.2,0,0,0,25.2,0
07/19/2022,0,1.8,0,0,0,0,0,0
07/20/2022,0,0,,0,,0,,0
07/21/2022,0,0,,0,,0,,0
07/22/2022,0,49.4,,0,,0,,0
07/23/2022,0,12.8,,0,,0,,1
07/24/2022,0,43.6,,0,,0,,0.2
07/25/2022,0,162.6,0,0,,0,0,0
07/26/2022,0,137.6,0,0,0,0,0,0
07/27/2022,0,15.8,0,0,0,0,0,0
07/28/2022,0,216.4,0,0,0,0,0,0
07/29/2022,0,152.6,0,0,0,0,0,0
07/30/2022,0,38.8,0,0,0,0,0,0
07/31/2022,0,27.2,0,0,0,0,0,0
08/01/2022,0,0.2,0,0,0,0,0,0
08/02/2022,0,205.6,0,0,0,0,0,0
08/03/2022,16.2,139,0,0,0,0,0,0
08/04/2022,0,82.8,0,0,0,0.2,0,0
08/05/2022,0,55.2,0,0,0,0,0,0
08/06/2022,0,12.2,0,0,0,0,0,0
08/07/2022,0,17.4,0,0,0,0,0,0
08/08/2022,0,262.8,0,0,0,0,0,0
08/09/2022,0,2.2,0,0.8,5.6,0,0,0
08/10/2022,0,1.2,0,1.2,0,0,0,0
08/11/2022,13.8,0.2,2,0.4,0,2.6,0,0
08/12/2022,0,0,0,1,3.8,0.8,0,0
