rr,ws_avg,ws_max,wd_avg,tt_air_max,tt_air_avg,tt_air_min,rh_avg,pp_air,sr_avg,tt_sea,wl_pan,ev_pan
1,1.91,6.5,235.91,31.3,27.57,24.9,82.4,1008.74,295.47,29.92,29.92,0.11
13.2,2.08,10.6,133.18,32,28.93,25.2,79.99,1009.03,368.16,30.64,30.64,0.11
64,1.93,7.8,175.91,31.6,27.91,25.1,82.93,1009.58,292.48,29.43,29.43,0.05
0.6,2.06,7,139.09,31.4,28.58,25.5,79.39,1008.15,291.57,30.1,30.1,0.23
0,2.03,7.5,188.18,31.6,28.61,25.8,80.07,1007.7,307.16,30.54,30.54,0.02
0,1.97,6.9,220.45,31.7,28.78,26.1,79.35,1007.96,327.49,30.63,30.63,0.08
0,1.8,8,238.18,31.6,28.75,26.2,80.25,1008.37,253.97,30.3,30.3,0.06
1,1.65,6,195,33,29.22,26.5,77.4,1008.04,237.48,30.83,30.83,0.13
13.2,2.27,7.8,151.36,32.3,29.8,26.2,78.65,1007.95,401.05,31.5,31.5,0.13
0,1.4,6.1,240,31.7,28.91,26.9,84.36,1007.96,143.9,29.98,29.98,0.15
0,2.02,8.4,204.55,32.5,29.26,26.9,76.98,1009.09,301.94,29.69,29.69,0.1
1.6,1.41,7.5,199.55,32.8,28.83,26.3,80,1009.56,170.85,30.14,30.14,0.11
0,1.41,5.8,242.27,32.1,29.23,26.5,79.41,1010.88,159.5,30.32,30.32,0.08
2.4,1.45,5.7,222.73,32.4,29.6,26.9,78,1010.73,197.55,31.52,31.52,0.12
4.2,1.3,5.3,194.09,31.6,29.06,26.8,80.33,1010.36,136.79,31.21,31.21,0.12
0,1.58,5.5,185.91,31.7,29.05,26.1,75.93,1010.9,195.98,30.88,30.88,0.08
23.6,1.96,6.8,182.73,31.8,28.92,25.4,77.49,1011.37,258.18,30.7,30.7,0.04
11,1.37,5.1,240.91,30.7,27.16,25.1,86.37,1011.35,112.18,28.76,28.76,0.17
0.6,1.5,6.3,163.81,30.9,27.77,25.5,81.82,1010.44,181.44,29.85,29.85,0.06
5,1.46,6,232.27,31.8,27.68,24.6,81.76,1009.31,113.75,28.84,28.84,0.08
0.2,1.06,6.1,218.18,30.2,27.9,25.4,83.13,1008.14,59.42,28.63,28.63,0.06
0,1.59,5.8,204.55,31.5,28.42,25.5,79.05,1008.7,173.88,29.74,29.74,0.05
9.8,1.99,6.9,201.36,32.4,28.69,24.8,78.94,1010.83,247.49,30.04,30.04,0.1
0,1.33,4.9,181.43,31.5,28.39,24.9,77.46,1010.17,134.77,29.34,29.34,0.07
20.4,1.85,8.7,240,29.7,25.64,24,87.39,1010.1,225.09,26.45,26.45,0.12
0.4,1.57,5.2,227.62,30.6,27.56,24.5,79.23,1009.76,153.15,28.66,28.66,0.06
0,1.78,8.1,220.95,33.9,28.74,24.9,75.56,1008.53,281.1,29.69,29.69,0.06
0,1.89,8.6,285.71,33.3,28.47,25.2,76.88,1008.22,287.59,29.39,29.39,0.09
0,1.78,8.3,278.5,34.1,28.6,25.7,76.56,1007.73,277.59,29.63,29.63,0.07
10.8,1.74,9.2,255,31.5,27.58,25.4,81.18,1008.98,245.08,28.7,28.7,0.03
2.6,1.1,5,198.57,31.5,28.1,25.5,79.68,1009.46,72.23,29.03,29.03,0.07
2,1.23,6.2,192.86,30.4,27.32,24,81.95,1010.67,97.31,28.72,28.72,0.1
0,1.46,4.9,195.91,30.9,27.9,24.5,76.23,1010.75,155.85,30.15,30.15,0.13
0,1.37,6,205,31,28.21,25.3,74.7,1010.76,132.56,29.45,29.45,0.19
9.8,1.49,5.7,190,31,28.05,25.5,79.3,1010.08,180.06,29.37,29.37,0.17
4.4,1.49,11.2,200.95,29.6,25.87,23.6,87.17,1009.8,162.88,27.09,27.09,0
0,1.39,5.2,176.47,30.5,28.26,23.8,79.3,1008.93,171.61,30.14,30.14,0.04
12.8,1.3,6.8,247.14,31.6,27.18,24.7,83.35,1009.78,107.13,28.8,28.8,0.04
1.6,1.35,4.3,190,31.2,28.24,25,77.59,1009.79,101.53,29.87,29.87,0.04
43.2,1.62,7.8,203.64,31.5,28.15,24.9,78.7,1009.66,160.51,29.47,29.47,0.1
2,1.43,4.9,208.18,31.1,28.28,25.4,79.93,1009.82,160.53,30.04,30.04,0
0,1.32,5.2,225.91,30.6,27.75,25,82.79,1010.16,118.86,29.17,29.17,0.01
0,1.14,5.6,207.62,30.3,27.05,25,81.43,1010.5,100.8,27.87,27.87,0.19
27.6,1.71,7.9,176.96,30.9,27.84,24.6,79.87,1010.33,254.9,29.28,29.28,0.02
0,1.29,4.6,242.73,31,27.49,24.9,82.68,1010.34,109.18,28.88,28.88,0
17.8,1.5,7.4,262.38,30.2,26.21,23.6,86.25,1010.74,145.86,27.88,27.88,0.14
0.6,1,4.5,225.71,29.9,26.45,23.9,84.83,1010.81,55.75,27.57,27.57,0.2
0,1.67,6.3,234.78,30.9,26.91,23.6,81.66,1010.86,159.52,29.1,29.1,0.05
24,1.85,10.4,148.57,30.7,27.34,23.9,81.7,1010,250.48,29.24,29.24,0.1
6.8,2.61,9.3,175.5,30.3,27.73,24.4,80.41,1008.79,445.86,28.51,28.51,0.02
0.2,3.09,8.9,116.82,31.1,28.6,24.8,75.2,1009.11,578.15,29.24,29.24,0.04
0.4,2.73,9.5,168,31.2,28.45,24.8,76.59,1010.62,498.15,71.83,71.83,0.1
6.8,2.83,10.6,160.91,30.9,27.6,24.6,79.45,1011.21,502.29,28.15,28.15,0.2
