tanggal,temp_max,temp_avg,temp_min,ev_pan,dew point,rh,ws_avg,ws_max,sr,pp_air
4/9/2022,32.3,29.5,26.4,9.2,24.3,73.8,1.2,3.6,4.8,1009.1
4/10/2022,32.4,29.4,26.6,5.7,24.2,73.9,1.4,3.1,7.6,1009.5
4/11/2022,33,29.1,26.6,4.3,24.6,76.7,1.4,6.7,8.6,1009
4/12/2022,32.6,29.2,27,5.5,24.6,76.6,0.8,4.6,8.4,1008.3
4/13/2022,32.7,29.5,26,2.9,24.6,75.1,1.7,3.1,6.5,1008.1
4/14/2022,32.4,30,26.9,6,24.7,73.7,1.7,3.6,8,1008.3
4/15/2022,33.4,30.1,27.1,4.6,24.6,72.5,1.6,5.7,9,1008.6
4/16/2022,32.2,29.9,27.6,7.4,24.7,73.5,1.5,4.1,8.7,1008
4/17/2022,32.6,30.3,26.8,5,25.6,76.1,2.3,7.7,9.1,1007.6
4/18/2022,33,29.6,27,4,25,76.3,1.6,3.6,8.9,1008.6
4/19/2022,32.7,29.4,27,7.6,24.5,75,1.3,3.1,8.1,1009.6
4/20/2022,32.2,29.4,27,4.3,24.6,75.6,2.6,6.7,7.3,1008.2
4/21/2022,29.4,27.7,26.4,5.7,24.8,84.6,0.6,2.6,6.6,1008.9
4/22/2022,31.6,26.4,24.8,2.6,24.1,87.5,1.3,5.7,0.4,1009.1
4/23/2022,32.4,29.5,25.6,4.3,25.5,79.4,1.3,4.6,2.2,1008.3
4/24/2022,32.2,29.4,26.6,4.6,24.5,75.2,1.3,3.1,8.7,1007.8
4/25/2022,33.2,29,26,5.3,24.6,77.6,2,4.6,7.1,1007.3
4/26/2022,32.8,30,27.2,4.9,24.3,71.9,2.6,3.6,8.5,1007.2
4/27/2022,32.3,28.3,24.6,4.4,25.1,83.2,1.7,5.7,7.9,1007.6
4/28/2022,31.2,28.5,25.8,1,24.9,80.8,2.7,6.2,5.6,1007.8
4/29/2022,33.2,29.3,26.8,3,25.4,79.5,1.7,4.6,2.6,1007.4
4/30/2022,31.5,29,27,0.5,25.6,82.2,1.5,3.6,4.3,1007.8
5/1/2022,31.3,28.9,27,3.8,25.8,83.5,1.1,3.6,3.3,1007.8
5/2/2022,32,27.9,25.2,2,25.1,85.1,1.1,5.7,4.8,1008.2
5/3/2022,32.2,29.2,26,2.4,25.7,81.7,1,3.6,5,1008.9
5/4/2022,32.4,28.8,26.6,2.2,25.2,80.9,1.7,6.7,3.3,1009.1
5/5/2022,33.8,30.1,26.6,1.8,25.5,76.3,2.3,6.7,4,1007.3
5/6/2022,33.4,30.5,27.8,6.6,26,77,1.9,5.7,7.3,1007
5/7/2022,33,30.2,27.8,2.4,25.6,76.7,2.1,3.1,8.9,1007.7
5/8/2022,33.2,30.6,27.8,6,25.9,76.1,1.4,2.6,6.9,1007.4
5/9/2022,32.8,29.4,27,4.5,25.9,81.5,2,6.2,8.8,1007.7
5/10/2022,33.8,30.3,26.2,3.9,26,77.8,1.8,5.1,4.1,1007.6
5/11/2022,31.9,29.6,26.4,4.9,25.8,80.3,1.8,4.6,6.9,1008
5/12/2022,32.6,29.5,27.2,4,25.2,78,2.7,5.7,3,1008.7
5/13/2022,32.4,29.9,27.8,4.8,25.4,76.5,2.4,4.1,6.2,1009
5/14/2022,33.4,30.3,27.5,5.8,26.1,78.2,2,3.6,8,1010.6
5/15/2022,33.4,28.7,26.6,2.8,25.5,82.6,1.1,3.6,4.5,1010.4
5/16/2022,32.6,29.4,27,4.4,25.3,78.8,1.6,4.1,6.3,1009.5
5/17/2022,32.8,29.9,27.8,4.5,25.7,77.9,1.4,3.6,7.8,1009.9
5/18/2022,32.8,29,27.2,4.8,25.2,80.2,1.6,4.1,4.1,1010.4
5/19/2022,31.5,28.5,26.2,1.5,25.2,82.4,1.4,3.6,7.4,1011.2
