tanggal,tomang,sukapura,pulomas,manggarai,lebak bulus,kemayoran,kelapa gading,ciganjur,istana,manggarai2,sunter kodamar,sunter rawabadak,rorotan,bandara halim,pakubuwono,ragunan,pasar minggu,kapuk,kedoya selatan,pulo gadung,sunter hulu,setiabudi,waduk melati,cideng,karet,teluk gong
1/4/2022,0,0,0,1,8.8,0,0,0,0,0,0,0,,2.1,0,1,6,0,0,0,4,0,0,0,0,0
1/5/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2022,16,14.4,63.8,12.2,9.8,202.4,59.4,0,7,11,30,29,7.2,27.2,0,2,0,0,2.3,35,0,8,0,7,0,16
1/7/2022,3.8,2.6,20.2,1.8,10.4,68,47.2,,2,1,8,5,2.6,2.9,3,2.5,2.5,4,0,12,20,2,1,3,0,10
1/8/2022,0.8,0.6,2,2,5.2,3,2.4,2.4,0,2,3,0,0,2,3,2,1,0,,2,3,2,2,0,0,0
1/9/2022,0.2,0.2,3.2,2.4,0,0,3.2,0,0,0,0,0,3,12.9,0,0,3,0,0.9,0,0,0,0,0,0,0
1/10/2022,0,0,0,0.2,4,0,0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1/11/2022,26.4,37.2,24.4,9,5.8,132,35.2,16.4,43,16,30,27,20,4.3,10.5,12,36,33,10,18,13,13,14,28,24,25
1/12/2022,11.8,10.2,62.8,32.2,31.2,178.8,17.2,9.2,26,33,16,23,11,21,21,15.5,18.5,45,35,15,30,38,40,24,35,28
1/13/2022,8.6,14.8,46,25.8,72,90.4,12.4,38.4,14,28,16,15,15,18,30,29,28,6,14,15,28,24,15,10,19,10
1/14/2022,11.8,7.8,7.2,6.4,3.4,61.4,8,0.2,11,6,5,22,8,10,4,8.5,3,10,32,10,13,8,10,9,10,24
1/15/2022,4,21,24.8,7.8,0.6,11.8,13,0.2,13,7,13,22,23,1.9,2,3.5,3,4,4.9,6,4,10,14,15,8,19
1/16/2022,0,0,1.4,0,1,0,0.2,0.2,0,0,0,0,0,0.2,0,0,1,0,0,0,3,0,0,0,0,0
1/17/2022,6.4,100.8,38.8,29.8,0.4,219.6,68.8,0,5,8,45,39,42.5,8.4,3,1,,28,0,17,0,10,5,2,5,9
1/18/2022,0.8,63.8,10,3.2,0.4,12.2,12.6,0,17,6,13,24,36,3.8,3,0,0,51,16,17,0,18,13,14,17,4
1/19/2022,,120.4,177,60.4,7.4,1260.4,205,,157,147,135,150,140,31.3,29,3,9.5,189,90.4,144,9,95,94,139,90,197
1/20/2022,0.4,7.6,4,0.4,3,31,2.4,3.6,0,2,3,7,8.5,11,10,2,5,0,2.1,4,10,2,2,4,2,1
1/21/2022,1,0.8,0.2,0.8,4,2,0.6,1,2,1,0,3,,6.1,9,4,4,3,2.9,2,0,0,2,0,4,0
1/22/2022,6,61.6,3.2,1,1.8,13.4,3.2,0,7,1,4,20,68,8.8,2,1,,5,10.2,0,0,4,2,4,4,15
1/23/2022,1.6,0.4,15.2,2,12.8,26,6.8,0,0,6,2,0,0,4.1,8,4,,0,7.5,7,3,13,13,7,0,0
1/24/2022,0,0.2,0.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2022,0,0,0,0.2,0.8,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2022,0.8,3.4,58,27.4,0,50.2,58.8,0,9,30,12,8,3.5,0.4,0,1,1,11,1.2,33,0,25,14,5,8,6
1/27/2022,0.2,0,0.8,11.8,0.8,5.6,1.2,4,1,13,1,2,0,22.7,0,0,,4,5.6,1,2,14,14,1,12,0
1/28/2022,0,5,4,0,1.8,23.4,3.2,0,0,0,0,0,,0,0,0,0,30,0,0,0,0,0,0,0,16
1/29/2022,0,0.2,2,0.6,19,0,24.4,2.8,0,1,5,0,6,7.8,7,4.5,2,0,0.3,28,0,3,4,0,6,0
1/30/2022,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2022,0,0,0,0.2,0,0,0,0,0,0,0,0,0,9.6,3,0,,0,0,0,1,0,0,0,0,0
2/1/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
2/2/2022,1.4,8.6,5.2,0.4,14.8,13.6,3.4,47.2,3,0,20,31,8.5,,0,1,0,10,0.5,0,3,1,0,1,0,5
2/3/2022,0.2,6.8,0.4,0.4,0,0,0.2,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
2/4/2022,70.4,16,19.2,9.2,18,244.4,42.8,11.6,45,28,37,33,17,70.3,9,11.5,39,61,28.9,49,49,0,32,47,51,62
2/5/2022,9.2,4.6,31.6,10.8,10.8,66.6,6.4,8.6,7,5,12,5,8.5,5.7,5,6,16,3,11.2,6,47,0,4,11,5,5
2/6/2022,32.8,67,74,20.8,0.4,246,36.4,2.6,28,24,51,79,75,11.6,12,0,3,42,31.4,31,6,1,16,45,15,30
2/7/2022,8,25,19.6,5,13.2,37.4,14.4,4.8,12,12,14,17,28,8.1,10,8,9,10,12.2,14,14,15,15,7,15,11
2/8/2022,0.6,0.4,7.8,5.2,0.4,16.8,22.2,0,0,0,20,2,,0.5,1,2,1,0,0.3,6,0,0,0,0,0,2
2/9/2022,28.4,34.6,130,28.4,22.4,698.2,49.4,5.2,20,33,39,11,47.5,43,25,14.5,19,36,33.4,51,36,42,36,43,34,32
2/10/2022,0,11,1.4,2.6,2.2,3,1,,0,3,1,10,12,1.3,2,3,2,6,0,0,0,4,3,0,3,5
2/11/2022,0,0,0,0,,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2022,0,0,0,0,,0,0,0,0,0,1,0,0,14.7,0,2.5,3.5,0,0,0,0,0,0,0,0,0
2/13/2022,0,0,0,4,0,0,0,0,0,2,0,0,0,1.4,2,0,,0,0,2,0,0,1,0,0,0
2/14/2022,0,2,0,12.8,19.4,0,1.8,3,0,6,0,0,0,12.4,10,31,40,0,0.3,4,27,4,2,0,3,12
2/15/2022,9.2,13.6,36.2,25.8,1.8,248.2,44.4,,24,14,20,11,16,6.8,8,2.5,1,13,14.7,14,0,21,16,30,17,12
2/16/2022,2,4.4,3.4,12.8,2.2,33,29,3.2,0,6,4,2,5,13.8,5,9.5,6,2,0.4,5,54,6,4,3,5,2
